model,types,filter,count,min,max,mean,std,bin_count,shannon_entropy,desequilibrium,complexity
google/gemma-3-27b-pt,bias-norm-embedding-other,0 sigma,27432406640,-298.0,1168.0,0.0015942768286464999,0.4700575371765044,170045680,6.75167179107666,0.0013598675141111016,0.009181379134625467
google/gemma-3-27b-pt,bias-norm-embedding-other,1 sigma,27430613802,-0.466796875,0.470703125,2.809572337533961e-06,0.012560202352698497,107480,7.261465549468994,0.0007686297176405787,0.005581378214945143
google/gemma-3-27b-pt,bias-norm-embedding-other,2 sigma,27430992358,-0.9375,0.94140625,3.311653126407672e-06,0.012813504041992814,216918,7.262759685516357,0.0007728614145889878,0.005613106724368044
google/gemma-3-27b-pt,bias-norm-embedding-other,3 sigma,27431195972,-1.40625,1.40625,4.468442006551169e-06,0.013182413629005529,323191,7.261465072631836,0.0007750330842100084,0.005627875671125104
google/gemma-3-27b-pt,bias-norm-embedding-other,4 sigma,27431307530,-1.875,1.875,8.596624481188991e-06,0.013591250023473915,434968,7.263669013977051,0.0007748374482616782,0.005628162763807398
google/gemma-3-27b-pt,bias-norm-embedding,0 sigma,1416781424,-298.0,1168.0,0.030794734828969644,2.067499900199891,44369508,6.824816703796387,0.0012012734077870846,0.008198470819291703
google/gemma-3-27b-pt,bias-norm-embedding,1 sigma,1415724113,-2.03125,2.09375,0.00013833067653402806,0.030474033981422073,124406,6.906703948974609,0.0010754410177469254,0.007427752724161962
google/gemma-3-27b-pt,bias-norm-embedding,2 sigma,1415984891,-4.09375,4.15625,0.0005766783624531355,0.05166767013771083,248014,6.905600547790527,0.00108233536593616,0.007474175695901808
google/gemma-3-27b-pt,bias-norm-embedding,3 sigma,1416128283,-6.15625,6.21875,0.0010264464262651754,0.07315728798075948,374481,6.910562515258789,0.0010788263753056526,0.007455297109659753
google/gemma-3-27b-pt,bias-norm-embedding,4 sigma,1416209884,-8.1875,8.25,0.0014098291444931278,0.09126300528784541,497426,6.910321235656738,0.001079820329323411,0.0074619053524174195
meta-llama/Llama-3.1-70B,bias-embedding-other,0 sigma,69501714432,-126.0,92.5,-2.2159444544282617e-05,0.01519703805187965,27460288,7.15779447555542,0.00089590426068753,0.006412698567775765
meta-llama/Llama-3.1-70B,bias-embedding-other,1 sigma,54601700247,-0.01519775390625,0.01513671875,-2.5491271318354818e-05,0.007832274114493741,4656,6.962005615234375,0.0008914569625630975,0.006206328379104065
meta-llama/Llama-3.1-70B,bias-embedding-other,2 sigma,68232633357,-0.0303955078125,0.0302734375,-2.5177778997132882e-05,0.011593600412938094,7782,7.136106491088867,0.0007852921262383461,0.00560392823945044
meta-llama/Llama-3.1-70B,bias-embedding-other,3 sigma,69364214152,-0.04541015625,0.04541015625,-2.1834606910191043e-05,0.012337115113118016,11493,7.176723003387451,0.0008008994627743959,0.005747833597893659
meta-llama/Llama-3.1-70B,bias-embedding-other,4 sigma,69463086324,-0.060791015625,0.060546875,-2.239479917583006e-05,0.012478390593334776,15362,7.18394660949707,0.0008203083416447043,0.005893051329700638
meta-llama/Llama-3.1-70B,bias-embedding,0 sigma,1050673152,-0.16796875,0.154296875,-1.3943857321898618e-05,0.00913124605721,13764,6.874648571014404,0.0010255825472995639,0.0070505195932502596
meta-llama/Llama-3.1-70B,bias-embedding,1 sigma,727693134,-0.00909423828125,0.00909423828125,-3.456056363351815e-06,0.0048505959035017865,1043,6.571817874908447,0.0005083715077489614,0.003340924961718783
meta-llama/Llama-3.1-70B,bias-embedding,2 sigma,999676782,-0.0181884765625,0.0181884765625,-9.406231669637797e-06,0.007874803447442994,1633,6.776922225952148,0.0005627808277495205,0.0038139218999154734
meta-llama/Llama-3.1-70B,bias-embedding,3 sigma,1046228663,-0.02734375,0.02734375,-1.2464811403040294e-05,0.00892605307497573,2357,6.859183311462402,0.000679783639498055,0.004662760595450233
meta-llama/Llama-3.1-70B,bias-embedding,4 sigma,1050394339,-0.036376953125,0.036376953125,-1.3715394978140204e-05,0.00910910449875328,3123,6.875958442687988,0.0007752924575470388,0.00533087871902288
meta-llama/Llama-3.1-70B,bias-norm-embedding-other,0 sigma,69503033344,-126.0,92.5,-1.8818129301335042e-05,0.015230923100420625,27563310,7.158478736877441,0.0008957079262472689,0.006411906144493662
meta-llama/Llama-3.1-70B,bias-norm-embedding-other,1 sigma,54663812439,-0.01519775390625,0.01519775390625,-8.197317441033574e-06,0.007844601641510036,4690,6.963065147399902,0.0008917951490730047,0.0062096277211305395
meta-llama/Llama-3.1-70B,bias-norm-embedding-other,2 sigma,68246253028,-0.0303955078125,0.0303955078125,-1.911671395407757e-05,0.011600388298779591,7768,7.136029243469238,0.0007848911918699741,0.00560100649812556
meta-llama/Llama-3.1-70B,bias-norm-embedding-other,3 sigma,69367767243,-0.045654296875,0.045654296875,-2.18287515800992e-05,0.012341076422098375,11598,7.177938461303711,0.000801256624981761,0.005751370745830986
meta-llama/Llama-3.1-70B,bias-norm-embedding-other,4 sigma,69463492552,-0.060791015625,0.060791015625,-2.2075595207348226e-05,0.012479103579046103,15393,7.183979511260986,0.0008204292971640825,0.00589394726126502
meta-llama/Llama-3.1-70B,bias-norm-embedding,0 sigma,1051992064,-0.16796875,3.359375,0.0002067999268316157,0.012313922085960362,149941,6.88138484954834,0.001089910976588726,0.007500096881654095
meta-llama/Llama-3.1-70B,bias-norm-embedding,1 sigma,868865213,-0.0120849609375,0.01251220703125,9.885837627576366e-05,0.006178077158895406,1233,6.643697738647461,0.0005376042099669576,0.0035716798740448308
meta-llama/Llama-3.1-70B,bias-norm-embedding,2 sigma,1040888426,-0.0244140625,0.0247802734375,2.3823651505043954e-08,0.008753985282758543,2111,6.84181547164917,0.0006419116398319602,0.004391840988833995
meta-llama/Llama-3.1-70B,bias-norm-embedding,3 sigma,1050479397,-0.03662109375,0.037109375,-1.2363971962137858e-05,0.009112405066831615,3165,6.875212669372559,0.0007802223553881049,0.005364194622691998
meta-llama/Llama-3.1-70B,bias-norm-embedding,4 sigma,1050730608,-0.048828125,0.04931640625,-1.2449713058033472e-05,0.009132497438459128,4171,6.873763561248779,0.0008593420498073101,0.005906914068614322
meta-llama/Llama-3.1-70B,bias-norm-other,0 sigma,68452360192,-126.0,92.5,-1.8892944350662418e-05,0.015305616480346992,27219820,7.156467914581299,0.0008972339564934373,0.006421026021518117
meta-llama/Llama-3.1-70B,bias-norm-other,1 sigma,53897565275,-0.01531982421875,0.0152587890625,-2.569090940443452e-05,0.007893760165797735,4639,6.9635725021362305,0.0008883005939424038,0.006185745589608604
meta-llama/Llama-3.1-70B,bias-norm-other,2 sigma,67224283408,-0.030517578125,0.030517578125,-1.9262179462144414e-05,0.011649680604925085,7760,7.1350932121276855,0.0007859350880607963,0.005607720111995562
meta-llama/Llama-3.1-70B,bias-norm-other,3 sigma,68318809926,-0.0458984375,0.045654296875,-2.3090364191249553e-05,0.012385931229287932,11398,7.173766136169434,0.0008020632667466998,0.0057538143020529064
meta-llama/Llama-3.1-70B,bias-norm-other,4 sigma,68413445549,-0.06103515625,0.06103515625,-2.2201647019340025e-05,0.012524848469852927,15376,7.183220386505127,0.0008214670815505087,0.005900779087036484
meta-llama/Llama-3.1-70B,bias-norm,0 sigma,1318912,-0.11865234375,3.359375,0.17605596005349702,0.15349816646354753,2472,5.124006271362305,0.0073949783109128475,0.037891915241705654
meta-llama/Llama-3.1-70B,bias-norm,1 sigma,1276376,0.0225830078125,0.328125,0.1683277830987646,0.06013596353903027,233,5.078851222991943,0.0035106525756418705,0.01783008212729853
meta-llama/Llama-3.1-70B,bias-norm,2 sigma,1310027,-0.11865234375,0.482421875,0.1648967621728614,0.06479333180848777,427,5.084024429321289,0.005601126700639725,0.02847626497777611
meta-llama/Llama-3.1-70B,bias-norm,3 sigma,1310630,-0.11865234375,0.6328125,0.1650718234826594,0.06529684752508953,527,5.080726623535156,0.006061218678951263,0.030795395113216273
meta-llama/Llama-3.1-70B,bias-norm,4 sigma,1310720,-0.11865234375,0.76171875,0.16510653646837453,0.06542930464481624,633,5.102293014526367,0.006266131065785885,0.03197163676506598
meta-llama/Llama-3.1-70B,bias-other,0 sigma,68451041280,-126.0,92.5,-2.2285547767273252e-05,0.015271380430875408,27321210,7.156207084655762,0.0008973624208010733,0.006421711313240486
meta-llama/Llama-3.1-70B,bias-other,1 sigma,53774929342,-0.0152587890625,0.01519775390625,-2.5658623988130054e-05,0.007868958893676871,4628,6.9616923332214355,0.0008902420522645116,0.006197591269961167
meta-llama/Llama-3.1-70B,bias-other,2 sigma,67224242672,-0.030517578125,0.030517578125,-1.927057305805698e-05,0.011649676792198603,7701,7.1335296630859375,0.0007854580180719495,0.005603088071024942
meta-llama/Llama-3.1-70B,bias-other,3 sigma,68317052245,-0.045654296875,0.045654296875,-2.196905470787126e-05,0.012383954714626194,11496,7.175402641296387,0.0008022146066650748,0.00575621280755112
meta-llama/Llama-3.1-70B,bias-other,4 sigma,68413353625,-0.06103515625,0.06103515625,-2.2246365375797743e-05,0.012524776969803808,15205,7.180851936340332,0.0008215652778744698,0.005899538616454869
meta-llama/Llama-3.1-70B,bias,0 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-70B,bias,1 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-70B,bias,2 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-70B,bias,3 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-70B,bias,4 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
