AVERAGE COMPLEXITY PER BIN COUNT RANGE
======================================================================

Bin Range Start      Bin Range End        Avg Complexity       Count     
----------------------------------------------------------------------
7.00                 1653.45              0.03296334           829       
1653.45              3299.90              0.00781140           504       
3299.90              4946.35              0.00652063           276       
4946.35              6592.80              0.00758781           141       
6592.80              8239.25              0.00838592           109       
8239.25              9885.71              0.01046669           42        
9885.71              11532.16             0.00889180           46        
11532.16             13178.61             0.00596728           35        
13178.61             14825.06             0.00754990           23        
14825.06             16471.51             0.00779168           25        
16471.51             18117.96             0.00606767           6         
18117.96             19764.41             0.00896836           8         
19764.41             21410.86             0.00586903           4         
21410.86             23057.31             0.00640573           4         
23057.31             24703.76             0.00928160           8         
24703.76             26350.22             0.00619317           4         
26350.22             27996.67             0.00461267           5         
27996.67             29643.12             0.00577890           6         
29643.12             31289.57             0.00680335           2         
31289.57             32936.02             0.01046320           4         
32936.02             34582.47             0.02079929           6         
34582.47             36228.92             0.00742449           1         
36228.92             37875.37             0.00771742           8         
37875.37             39521.82             0.00673972           4         
39521.82             41168.27             0.00897846           10        
41168.27             42814.73             0.00655662           4         
42814.73             44461.18             0.00505148           2         
44461.18             46107.63             0.00724956           2         
46107.63             47754.08             0.00684153           6         
47754.08             49400.53             0.00748579           2         
49400.53             51046.98             0.00572083           2         
51046.98             52693.43             0.00000000           10        
52693.43             54339.88             0.00572013           2         
54339.88             55986.33             0.00669897           2         
55986.33             57632.78             0.00608528           4         
57632.78             59279.24             0.00581607           8         
59279.24             60925.69             0.00518038           3         
60925.69             62572.14             0.00657467           2         
62572.14             64218.59             0.00396227           6         
64218.59             65865.04             0.00187573           2         
65865.04             67511.49             0.00604602           2         
67511.49             69157.94             0.00645100           3         
69157.94             70804.39             0.00513553           1         
70804.39             72450.84             0.00648262           2         
72450.84             74097.29             0.00789199           5         
74097.29             75743.75             0.00679579           4         
75743.75             77390.20             0.00568482           2         
77390.20             79036.65             0.00820449           6         
79036.65             80683.10             0.00764139           6         
80683.10             82329.55             0.00565652           1         
82329.55             83976.00             0.00710142           6         
83976.00             85622.45             0.00562118           9         
85622.45             87268.90             0.00709745           7         
87268.90             88915.35             0.00592910           5         
88915.35             90561.80             0.00790889           10        
90561.80             92208.25             0.00677189           4         
92208.25             93854.71             0.00808751           8         
93854.71             95501.16             0.00606777           3         
95501.16             97147.61             0.00636141           3         
97147.61             98794.06             0.00737713           2         
98794.06             100440.51            0.00682138           1         
100440.51            102086.96            0.00608217           2         
102086.96            103733.41            0.00648072           4         
103733.41            105379.86            0.00742188           2         
105379.86            107026.31            0.00683432           1         
107026.31            108672.76            0.00691215           3         
108672.76            110319.22            0.00698170           2         
110319.22            111965.67            0.00781945           2         
111965.67            113612.12            0.00000000           10        
113612.12            115258.57            0.00635793           1         
115258.57            116905.02            0.00601136           2         
116905.02            118551.47            0.00630463           2         
118551.47            120197.92            0.00516939           1         
120197.92            121844.37            0.00708661           3         
121844.37            123490.82            0.00469095           2         
123490.82            125137.27            0.07887553           6         
125137.27            126783.73            0.04745654           5         
126783.73            128430.18            0.06245964           4         
128430.18            130076.63            0.02327976           1         
130076.63            131723.08            0.00507249           1         
131723.08            133369.53            0.00609385           2         
133369.53            135015.98            0.00649555           3         
135015.98            136662.43            0.00585354           2         
136662.43            138308.88            0.00519180           1         
138308.88            139955.33            0.00193345           2         
139955.33            141601.78            0.00731007           3         
141601.78            143248.24            0.00607828           1         
143248.24            144894.69            0.00572376           1         
144894.69            146541.14            0.00567411           2         
146541.14            148187.59            0.00557284           1         
148187.59            149834.04            0.00751394           1         
149834.04            151480.49            0.00569780           2         
151480.49            153126.94            0.00644394           1         
153126.94            154773.39            0.00670813           4         
154773.39            156419.84            0.01183519           1         
156419.84            158066.29            0.00376265           2         
158066.29            159712.75            0.00191968           1         
159712.75            161359.20            0.00519364           2         
161359.20            163005.65            0.01189281           1         
163005.65            164652.10            0.00648973           2         
164652.10            166298.55            0.00647521           2         
166298.55            167945.00            0.00604871           4         
167945.00            169591.45            0.00559889           1         
169591.45            171237.90            0.00314831           3         
171237.90            172884.35            0.00646469           2         
172884.35            174530.80            0.00196342           1         
174530.80            176177.25            0.00195720           1         
176177.25            177823.71            0.00706121           1         
177823.71            179470.16            0.00705143           1         
179470.16            181116.61            0.00644929           4         
181116.61            182763.06            0.00669003           1         
182763.06            184409.51            0.00544630           2         
184409.51            186055.96            0.00686814           2         
186055.96            187702.41            0.00746570           2         
187702.41            189348.86            0.00456679           4         
189348.86            190995.31            0.00640292           1         
190995.31            192641.76            0.00412614           1         
192641.76            194288.22            0.00639208           1         
194288.22            195934.67            0.00635727           2         
195934.67            197581.12            0.00573692           1         
197581.12            199227.57            0.00573347           1         
199227.57            200874.02            0.00571068           1         
200874.02            202520.47            0.00660943           2         
202520.47            204166.92            0.00660693           1         
204166.92            205813.37            0.00660017           1         
205813.37            207459.82            0.00193595           1         
207459.82            209106.27            0.00191668           1         
209106.27            210752.73            0.10875565           4         
210752.73            212399.18            0.00196272           1         
212399.18            214045.63            0.07183397           3         
214045.63            215692.08            0.10674619           2         
215692.08            217338.53            0.00575852           1         
217338.53            218984.98            0.00574599           1         
218984.98            220631.43            0.00788121           2         
220631.43            222277.88            0.00562053           1         
222277.88            223924.33            0.00561855           1         
223924.33            225570.78            0.00521872           1         
225570.78            227217.24            0.00540531           2         
227217.24            228863.69            0.00560377           1         
228863.69            230510.14            0.10522727           4         
230510.14            232156.59            0.07180316           3         
232156.59            233803.04            0.10474806           2         
233803.04            235449.49            0.00574404           1         
235449.49            237095.94            0.00495449           2         
237095.94            238742.39            0.00654574           3         
238742.39            240388.84            0.00654689           2         
240388.84            242035.29            0.00654420           1         
242035.29            243681.75            0.00653193           2         
243681.75            245328.20            0.00654894           1         
245328.20            246974.65            0.00652622           3         
246974.65            248621.10            0.00676989           2         
248621.10            250267.55            0.00699185           1         
250267.55            251914.00            0.00745374           2         
251914.00            253560.45            0.00571924           2         
253560.45            255206.90            0.00654192           1         
255206.90            256853.35            0.00655113           2         
256853.35            258499.80            0.00654577           3         
258499.80            260146.26            0.00650042           2         
260146.26            261792.71            0.00654303           3         
261792.71            263439.16            0.00652654           1         
263439.16            265085.61            0.00652596           1         
265085.61            266732.06            0.00635556           2         
266732.06            268378.51            0.00635474           1         
268378.51            270024.96            0.00635448           1         
270024.96            271671.41            0.00788546           2         
271671.41            273317.86            0.00422314           1         
273317.86            274964.31            0.00563250           1         
274964.31            276610.76            0.00563041           1         
