Date|Model|Grade|Sentence
28/05/2014|google/gemini-2.5-pro|0|Os membros do Copom analisaram a evolução recente e as perspectivas para a economia brasileira e para a economia internacional, no contexto do regime de política monetária, cujo objetivo é atingir as metas fixadas pelo governo para a inflação.  volução recente da economia.
28/05/2014|google/gemini-2.5-pro|0|A inflação medida pela variação do Índice Nacional de Preços ao Consumidor Amplo (IPCA) atingiu 0, 67% em abril, 0, 12 ponto percentual (p.  ) acima da registrada em abril de 2013 e 0, 25   menor que a registrada em março de 2014.
28/05/2014|google/gemini-2.5-pro|0|Dessa forma, a inflação acumulada em doze meses se deslocou para 6, 28% em abril (ante 6, 49% em abril de 2013), com os preços livres aumentando 7, 04% (8, 09% em abril de 2013), e os preços administrados, 3, 79% (1, 55% em abril de 2013).
28/05/2014|google/gemini-2.5-pro|-1|A média das variações mensais das medidas de inflação subjacente, calculadas pelo Banco Central, deslocou-se de 0, 67% em março para 0, 51% em abril, e, assim, a variação acumulada em doze meses atingiu 6, 46% (0, 43   acima da registrada em abril de 2013).
28/05/2014|google/gemini-2.5-pro|-1|O Índice de Preços ao Consumidor (IPC), segundo componente mais importante do IGP-DI, variou 6, 36% em doze meses até abril (6, 17% em abril de 2013); e o Índice Nacional de Custo da Construção (INCC), componente de menor peso no IGP-DI, 7, 96% (7, 16% em abril de 2013), em parte, reflexo de pressões de custos de mão de obra, que variaram 9, 05% no período.
28/05/2014|google/gemini-2.5-pro|0|Por sua vez, o Índice de Preços ao Produtor/Indústria de Transformação (IPP/IT), calculado pelo Instituto Brasileiro de Geografia e Estatística (IBGE), variou-0, 38% em abril, e 7, 96% em doze meses.
28/05/2014|google/gemini-2.5-pro|0|O Copom avalia que os efeitos do comportamento dos preços no atacado sobre a inflação ao consumidor dependerão das condições atuais e prospectivas da demanda e das expectativas dos formadores de preços em relação à trajetória futura da inflação.
28/05/2014|google/gemini-2.5-pro|0|O Copom avalia que a trajetória do comércio continuará sendo influenciada pelas transferências governamentais, pelo ritmo de crescimento da massa salarial real e pela expansão moderada do crédito.
28/05/2014|google/gemini-2.5-pro|0|Essa projeção considera variações ocorridas, até abril, nos preços da gasolina (1, 8%) e do gás de bujão (0, 5%), bem como hipóteses de redução de 4, 2% nas tarifas de telefonia fixa e de aumento de 11, 5% nos preços da eletricidade.
28/05/2014|google/gemini-2.5-pro|0|Os itens para os quais se dispõe de mais informações foram projetados individualmente e, para os demais, as projeções se baseiam em modelos de determinação endógena de preços administrados, que consideram, entre outras variáveis, componentes sazonais, inflação de preços livres e inflação medida pelo Índice Geral de Preços (IGP).
28/05/2014|google/gemini-2.5-pro|0|A trajetória estimada para a taxa do pré-DI de 360 dias indica sobre a taxa Selic, no cenário de referência, de 26 pontos base (p.  ) e 7   para o quarto trimestre de 2014 e de 2015, respectivamente.
28/05/2014|google/gemini-2.5-pro|0|O cenário de referência leva em conta as hipóteses de manutenção da taxa de câmbio em R$2, 20/US$ e da taxa Selic em 11, 00% ao ano (a.  ) em todo o horizonte relevante.
28/05/2014|google/gemini-2.5-pro|-1|Nesse cenário, a projeção para a inflação de 2014 diminuiu em relação ao valor considerado na última reunião, mas permanece acima da meta de 4, 5% fixada pelo Conselho Monetário Nacional (CMN).
28/05/2014|google/gemini-2.5-pro|-1|No cenário de mercado, que leva em conta as trajetórias de câmbio e de juros coletadas pelo Gerin com analistas de mercado, no período imediatamente anterior à reunião do Copom, a projeção de inflação para 2014 também diminuiu em relação ao valor considerado na reunião de abril, mas permanece acima da meta para a inflação.
28/05/2014|google/gemini-2.5-pro|-1|Para 2015, no cenário de referência, a projeção de inflação recuou em relação ao valor considerado na reunião do Copom de abril, mas se encontra acima da meta.
