Date|Model|Grade|Sentence
02/09/2009|human|-1|No médio prazo, o risco advém dos efeitos, cumulativos e defasados, da distensão das condições financeiras e do impulso fiscal sobre a evolução da demanda doméstica, levando-se em conta a dinâmica do consumo e do investimento, em contexto de retomada da utilização dos fatores de produção.
30/11/2011|human|-1|Os preços livres aumentaram 7, 24% no período de doze meses encerrado em outubro, ante 7, 79% em setembro, e os monitorados apresentaram aceleração no período, com a variação acumulada em doze meses atingindo 6, 34% ante 6, 17% no mês anterior.
21/10/2009|human|0|Nesse contexto, após um período de flexibilização agressiva, a política monetária, em um número significativo de países, parece ter entrado em fase de estabilidade e, em alguns casos, de remoção de estímulos introduzidos no período mais agudo da contração internacional, ao passo que o aumento do endividamento do setor público impõe limites ao escopo de eventuais estímulos fiscais adicionais.
17/04/2013|human|-1|Considerada a série observada, o Nuci apresentou aumento de 0, 3   em relação a março de 2012, atingindo 83, 3%, resultado das elevações de 2, 6   em material de construção, 1, 7   em bens de consumo duráveis, 1, 6   em bens de capital, e 0, 2   em bens intermediários.
20/11/2002|human|-1|Dados preliminares da Fecomércio mostram que o faturamento real do comércio varejista em São Paulo manteve-se praticamente estável em outubro (série dessazonalizada), mas encontra-se 12, 5% acima do valor observado em outubro de 2001.
15/12/1999|human|-1|Dos exercícios de simulação, depreende-se que há probabilidade de quase 50% de, no segundo e terceiro trimestres de 2000, a inflação ficar 1 ponto percentual acima da trajetória central incluída na quarta revisão do Programa acordado com o FMI.
29/08/2012|human|0|Considerada a série observada, o Nuci apresentou expansão de 0, 4   em relação a agosto de 2011, resultado de elevações de 3, 6   em bens de consumo não duráveis e de 2   em bens de consumo duráveis, em oposição ao decréscimo nos indicadores das indústrias de material de construção, 1, 6; de bens de capital, 1, 2; e de bens intermediários, 0, 3.
18/09/2024|human|-1|Entre os riscos de alta para o cenário inflacionário e as expectativas de inflação, destacam-se (i) uma desancoragem das expectativas de inflação por período mais prolongado; (ii) uma maior resiliência na inflação de serviços do que a projetada em função de um hiato do produto mais apertado; e (iii) uma conjunção de políticas econômicas externa e interna que tenham impacto inflacionário, por exemplo, por meio de uma taxa de câmbio persistentemente mais depreciada.
06/03/2013|human|0|A taxa de inadimplência do sistema financeiro, correspondente às operações com atrasos superiores a noventa dias, situou-se em 3, 7%, permanecendo estável em relação ao mês anterior e apresentando retração de 0, 1   em relação a janeiro de 2012.
20/01/2021|human|1|Entretanto, o Copom considerou que a terceira condição deixou de ser satisfeita, pois as expectativas de inflação, assim como as projeções de inflação de seu cenário básico, estão suficientemente próximas da meta de inflação para o horizonte relevante de política monetária.
23/05/2001|human|0|A elevação da meta para a Taxa Selic nas duas últimas reuniões do COPOM e o resgate líquido de LTN explicam a redução da dívida prefixada desde o início de março.
30/05/2012|human|0|Dito de outra forma, taxas de inflação elevadas não trazem qualquer resultado duradouro em termos de crescimento da economia e do emprego, mas, em contrapartida, trazem prejuízos permanentes para essas variáveis no médio e no longo prazo.
20/09/2023|human|-1|Avaliou-se ainda que não há evidência de que esteja em curso um aperto além do que seria necessário para a convergência da inflação para a meta e que o cenário ainda inspira cautela, reforçando a visão de serenidade e moderação que o Comitê tem expressado.
17/03/2004|human|1|Houve, portanto, uma alteração do balanço de riscos em relação àquele descrito em janeiro e fevereiro, tendo diminuído o risco de maior inflação e mantendo-se baixo o risco de que falte sustentação à retomada da atividade.
14/04/2004|human|1|O Copom ressalta que não faz sentido, diante do quadro de normalização macroeconômica que o país vem logrando consolidar, inferir de forma mecânica que um ritmo mais moderado de reduções dos juros corresponda a uma avaliação negativa sobre o comportamento futuro da inflação, ou que dele deva resultar pessimismo a respeito da trajetória futura do nível de atividade.
25/11/2015|human|-1|O Índice de Preços ao Consumidor (IPC), segundo componente mais importante do IGP-DI, aumentou 10, 01% em doze meses até outubro (6, 84% em outubro de 2014), e o Índice Nacional de Custo da Construção (INCC), componente de menor peso no IGP-DI, aumentou 7, 58% (6, 87% em outubro de 2014), em parte reflexo de pressões de custos de mão de obra, que variaram 8, 59% no período.
06/02/2019|human|1|Diversas medidas de inflação subjacente se encontram em níveis apropriados ou confortáveis, inclusive os componentes mais sensíveis ao ciclo econômico e à política monetária.
