Date|Model|Grade|Sentence
25/10/2017|human|0|O Copom avaliou que a política monetária tem flexibilidade para reagir a riscos para ambos os lados, tanto ao risco de que efeitos secundários de choques de oferta e propagação do nível corrente baixo de inflação produzam inflação prospectiva abaixo do esperado, quanto ao risco de um revés no cenário internacional num contexto de frustração das expetativas sobre as reformas e ajustes necessários.
04/03/2015|human|1|Especificamente sobre o combate a inflação, o Comitê destaca que a literatura e as melhores práticas internacionais recomendam um desenho de política fiscal consistente e sustentável, de modo a permitir que as ações de política monetária sejam plenamente transmitidas aos preços.
05/03/2008|human|-1|O Copom considera fundamental ressaltar, mais uma vez, que há defasagens importantes entre a implementação da política monetária e seus efeitos sobre o nível de atividade e sobre a inflação.
07/03/2007|human|1|No cenário externo, a divulgação do comunicado do (FOMC) e o teor dos pronunciamentos do presidente do no Congresso aumentaram o otimismo dos investidores, favorecendo o fluxo de recursos para países emergentes e contribuindo para a redução mais acentuada da parte longa da curva de juros.
20/07/2016|human|1|Por outro lado, os ajustes necessários na economia podem ser aprovados e implementados de forma mais célere, permitindo ganhos de confiança e queda das expectativas de inflação.
05/12/2007|human|-1|Consideradas as operações de crédito por atividade econômica, o saldo dos empréstimos para a indústria cresceu 3, 1% em outubro e 28, 5% em doze meses, enquanto os empréstimos ao comércio apresentaram elevação de 3, 3% no mês e de 20, 8% em doze meses.
20/10/2010|human|0|O fato de que a contribuição de alimentos para a inflação plena tem sido elevada, comparativamente ao padrão histórico, sugere estar em curso a materialização de riscos de curto prazo que haviam sido identificados e levados em conta no balanço dos riscos avaliado na última reunião do Copom.
29/07/2015|human|1|Note-se, adicionalmente, que riscos baixos para a inflação subjacente no curto prazo tendem a potencializar os efeitos das ações de política monetária, fazendo com que elas possam afetar, de forma mais duradoura, a dinâmica da inflação plena no futuro.
26/10/2022|human|0|O Comitê segue avaliando que o compromisso e a determinação dos bancos centrais em reduzir as pressões inflacionárias e ancorar as expectativas elevam o risco de uma desaceleração global mais pronunciada.
24/05/2000|human|0|O faturamento real do comércio varejista na região metropolitana de São Paulo subiu 9, 5% no primeiro quadrimestre do ano, comparativamente a igual período de 1999, resultado em boa parte do crescimento das vendas de bens de maior valor unitário, em resposta à melhora nas condições do crédito.
17/03/2021|human|1|Para a próxima reunião, a menos de uma mudança significativa nas projeções de inflação ou no balanço de riscos, o Comitê antevê a continuação do processo de normalização parcial do estímulo monetário com outro ajuste da mesma magnitude.
27/11/2013|human|-1|Por sua vez, o Índice de Preços ao Produtor/Indústria de Transformação (IPP/IT), calculado pelo Instituto Brasileiro de Geografia e Estatística (IBGE), aumentou 0, 62% em setembro, acumulando alta de 5, 86% em doze meses.
24/05/2000|human|1|O balanço de oferta e demanda indica ausência de desequilíbrios que possam traduzir-se em pressões inflacionárias significativas no horizonte relevante para o regime de metas para a inflação.
01/11/2023|human|0|A inflação ao consumidor segue a trajetória esperada de desinflação, com uma composição benigna, exibindo desaceleração tanto na inflação de serviços quanto nos núcleos de inflação.
07/12/2022|human|-1|Além disso, ressaltaram que a desinflação de serviços e dos núcleos de inflação, componentes de maior inércia, demandarão maior atenção e perseverança na condução da política monetária.
04/06/2008|human|0|Ao atuar enquanto o balanço dos riscos para a dinâmica inflacionária assim o requerer, o Comitê entende que estará, de fato, contribuindo para a sustentação do crescimento, o que requer estabilidade, previsibilidade e a conseqüente extensão do horizonte de planejamento das empresas e famílias, bem como para resguardar os importantes incrementos na renda real dos assalariados observados nos últimos anos.
20/01/2016|human|-1|Especificamente sobre a Europa, em que pesem ações de política monetária recentes, altas taxas de desemprego, aliadas à consolidação fiscal e a incertezas políticas, seguem como elementos de contenção de investimentos e do crescimento.
