Date|Model|Grade|Sentence
09/06/2010|gpt-5|0|Os membros do Copom analisaram a evolução recente e as perspectivas para a economia brasileira e para a economia internacional, no contexto do regime de política monetária, cujo objetivo é atingir as metas fixadas pelo governo para a inflação.
09/06/2010|gpt-5|0|A inflação medida pelo Índice Nacional de Preços ao Consumidor Amplo (IPCA), após se deslocar de 0, 52% em março para 0, 57% em abril, reduziu-se para 0, 43% em maio.
09/06/2010|gpt-5|-1|Com isso, a inflação acumulada nos primeiros cinco meses de 2010 alcançou 3, 09%, taxa 0, 89 ponto percentual (p.
09/06/2010|gpt-5|-1|O aumento da inflação em 2010 reflete o comportamento dos preços livres, que no acumulado do ano até maio aumentaram 3, 72%.
09/06/2010|gpt-5|0|As três principais medidas de inflação subjacente calculadas pelo Banco Central do Brasil (BCB) tiveram comportamento homogêneo entre abril e maio.
09/06/2010|gpt-5|0|A inflação medida pelo Índice Geral de Preços – Disponibilidade Interna (IGP-DI) deslocou-se de 0, 72% em abril para 1, 57% em maio.
09/06/2010|gpt-5|0|Conforme destacado em Notas de reuniões anteriores, o Copom avalia que os efeitos do comportamento dos preços no atacado sobre a inflação para os consumidores dependerão das condições atuais e prospectivas da demanda e das expectativas dos formadores de preços em relação à trajetória futura da inflação.
09/06/2010|gpt-5|0|A propósito, como assinalado em Notas anteriores das reuniões do Copom, a trajetória da inflação mantém estreita relação com os desenvolvimentos correntes e prospectivos no tocante à ampliação da oferta de bens e de serviços para o adequado atendimento da demanda.
09/06/2010|gpt-5|-1|De fato, já há preocupação com a dinâmica da inflação em importantes economias emergentes.
09/06/2010|gpt-5|-1|Cabe assinalar, entretanto, que, independentemente do comportamento dos preços domésticos da gasolina, a evolução dos preços internacionais do petróleo pode, eventualmente, se transmitir à economia doméstica tanto por meio de cadeias produtivas, como a petroquímica, quanto pelo efeito potencial sobre as expectativas de inflação.
09/06/2010|gpt-5|0|Avaliação prospectiva das tendências da inflação.
09/06/2010|gpt-5|0|Essa projeção baseia-se em modelos de determinação endógena de preços administrados, que consideram, entre outros, componentes sazonais, variações cambiais, inflação de preços livres e inflação medida pelo Índice Geral de Preços (IGP);.
09/06/2010|gpt-5|1|Para 2011, a mediana das expectativas de inflação se manteve em 4, 80%.
09/06/2010|gpt-5|-1|Nesse cenário, a projeção para a inflação de 2010 elevou-se em relação ao valor considerado na reunião do Copom de abril, e se mantém sensivelmente acima do valor central de 4, 50% para a meta fixada pelo Conselho Monetário Nacional (CMN).
09/06/2010|gpt-5|-1|No cenário de mercado, que leva em conta as trajetórias de câmbio e de juros apuradas pela Gerin junto a analistas no período imediatamente anterior à reunião do Copom, a projeção de inflação para 2010 também se elevou, e se mantém sensivelmente acima do valor central da meta para a inflação.
09/06/2010|gpt-5|0|Nessa conjuntura, a influência do cenário internacional sobre o comportamento da inflação doméstica se revela mais ambígua, conquanto persista incerteza sobre o comportamento de preços de ativos e de em contexto de piora das condições financeiras internacionais O Copom avalia que esse cenário pode se deteriorar, a depender da dinâmica que tomar o quadro de desconfiança dos participantes de mercado em relação à solvência de algumas economias européias, mas, por outro lado, reconhece não ser esse o cenário central com que trabalha.
09/06/2010|gpt-5|-1|O Copom entende que os indicadores divulgados desde a última reunião reforçam a percepção de existência de pressões sobre o mercado de fatores, o que aumenta a probabilidade de que desenvolvimentos inflacionários inicialmente localizados venham a apresentar riscos para a trajetória da inflação.
09/06/2010|gpt-5|0|O Comitê pondera que a materialização desses repasses, bem como a generalização de pressões inicialmente localizadas sobre preços ao consumidor, segue dependendo de forma crítica das expectativas dos agentes econômicos para a inflação e do grau de ociosidade da economia, dentre outros fatores.
09/06/2010|gpt-5|0|A propósito, essas e outras variáveis fazem parte do conjunto de informação que é levado em conta no processo de geração das projeções de inflação do Banco Central, que constituem elemento central no julgamento que o Comitê faz sobre o cenário inflacionário prospectivo.
09/06/2010|gpt-5|0|De qualquer modo, o Comitê reafirma o compromisso de que continuará conduzindo suas ações de forma a assegurar que os ganhos obtidos no combate à inflação em anos recentes sejam permanentes.
09/06/2010|gpt-5|0|O Copom considera importante ressaltar, mais uma vez, que há defasagens entre a implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação.
09/06/2010|gpt-5|0|Dessa forma, a análise de decisões alternativas de política monetária deve se concentrar, necessariamente, no cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes e passados para essa variável.
09/06/2010|gpt-5|0|Com a economia brasileira em novo ciclo de expansão, essas ponderações tornam-se ainda mais relevantes quando se leva em conta que há defasagens entre a implementação da política monetária e seus efeitos sobre o nível de atividade e sobre a inflação.
09/06/2010|gpt-5|-1|A evidência internacional, no que é ratificada pela experiência brasileira, indica que taxas de inflação elevadas levam ao aumento dos prêmios de risco, tanto para o financiamento privado quanto para o público; ao encurtamento dos horizontes de planejamento, tanto das famílias quanto das empresas.
09/06/2010|gpt-5|-1|Conseqüentemente, taxas de inflação elevadas reduzem os investimentos e o potencial de crescimento da economia, além de terem efeitos regressivos sobre a distribuição de renda.
09/06/2010|gpt-5|-1|De outra forma, taxas de inflação elevadas não trazem qualquer resultado duradouro em termos de crescimento da economia e do emprego, mas, em contrapartida, trazem prejuízos permanentes para essas variáveis no médio e no longo prazo.
09/06/2010|gpt-5|0|Assim sendo, a estratégia adotada pelo Copom visa assegurar a convergência da inflação para a trajetória de metas neste e nos próximos anos, o que exige que eventuais desvios em relação à trajetória de metas sejam prontamente corrigidos.
09/06/2010|gpt-5|-1|Os sinais de aquecimento da economia se manifestam, por exemplo, na trajetória dos núcleos de inflação e das expectativas de inflação, nos indícios de escassez de mão-de-obra e na elevação dos custos dos insumos.
09/06/2010|gpt-5|-1|Em particular, nesse período, as projeções de inflação consideradas pelo Comitê mostraram ligeira deterioração no cenário prospectivo.
09/06/2010|gpt-5|-1|Em tais circunstâncias, a postura de política monetária deve ser ajustada, por um lado, porque contribui para a convergência entre o ritmo de expansão da demanda e oferta e, por outro, porque evita que pressões de preços originalmente isoladas determinem uma deterioração persistente do cenário prospectivo para a inflação.
09/06/2010|gpt-5|-1|Em suma, a despeito da reversão de parcela substancial dos estímulos introduzidos durante a recente crise financeira internacional, desde a última reunião permaneceram elevados os riscos à concretização de um cenário inflacionário benigno, no qual a inflação seguiria consistente com a trajetória das metas.
09/06/2010|gpt-5|-1|Nesse contexto, dando seguimento ao processo de ajuste das condições monetárias ao cenário prospectivo da economia, para assegurar a convergência da inflação à trajetória de metas, o Copom decidiu, por unanimidade, elevar a taxa Selic para 10, 25%, sem viés.
09/06/2010|gpt-5|0|No regime de metas para a inflação, o Copom orienta suas decisões de acordo com os valores projetados para a inflação, a análise de diversos cenários alternativos para a evolução das principais variáveis que determinam a dinâmica prospectiva dos preços e o balanço dos riscos associado a suas projeções.
09/06/2010|gpt-5|0|Esses elementos são parte importante do contexto no qual decisões futuras de política monetária serão tomadas, com vista a assegurar a convergência tempestiva da inflação para a trajetória de metas.
09/06/2010|gpt-5|0|Houve consenso entre os membros do Comitê sobre a necessidade de se adequar o ritmo do ajuste da taxa básica de juros à evolução do cenário inflacionário prospectivo, bem como ao correspondente balanço de riscos, de forma a limitar os impactos causados pelo comportamento da inflação corrente sobre a dinâmica subjacente dos preços.
09/06/2010|gpt-5|1|A inflação se mantém em níveis modestos nos EUA e na Área do Euro – a variação anual dos índices de preços ao consumidor (IPC), em abril, atingiu 2, 2% nos EUA e 1, 5% na Área do Euro.
