epoch,train_loss,train_ppl,val_loss,val_ppl
1,7.185121752046324,1319.6498985716223,6.423259030199094,616.0074331108399
2,6.360878015969779,578.7542888828941,5.919198390717494,372.1133048091433
3,5.979121329186561,395.09305885298915,5.685431752722979,294.54498820230725
4,5.746398759531331,313.0612190803205,5.5399284148708645,254.65976895359975
5,5.564751401647821,261.06029648266286,5.438856940824662,230.17892489717485
6,5.421362062315127,226.1869935647562,5.364685304362558,213.7239660971827
7,5.306386186407281,201.6202921035348,5.3108691555481045,202.52617866481438
8,5.210738164442522,183.2292616121526,5.275574557405145,195.50277181468545
9,5.13142599759402,169.258307975827,5.23869027494849,188.42315819588345
10,5.068313887307456,158.90616762691806,5.216422535423318,184.27377058542243
11,5.018125382574883,151.12773140351703,5.201334129511614,181.51424391781177
12,4.98105082669101,145.627330363929,5.19185514430092,179.80180201198945
13,4.955147818966465,141.90358086336735,5.184563018218802,178.4954334927536
14,4.938608330565613,139.57587086267142,5.1815550189573445,177.95932607022692
15,4.930926719269195,138.50781073962548,5.1790038672295635,177.50590344892035
